C,H,O,N,S,P,Se,Na,Cl,13C,m/z,H/C,O/C,KM,NKM,KMD,DBE,DBE-O,13Cratio,AImod,Q1P1-10m,Q1P1-20m,Q1P1-30m,Q1P1-60m,Q1P1-90m,Q1P1-315m,Q1P4-0.5m,Q1P4-10m,Q1P4-20m,Q1P4-30m,Q1P4-60m,Q1P4-90m,Q1P4-314m,Q1P6-10m,Q1P6-20m,Q1P6-30m,Q1P6-60m,Q1P6-90m,Q1P6-822m,Q1P7-0.5m,Q1P7-10m,Q1P7-20m,Q1P7-30m,Q1P7-60m,Q1P7-90m,Q1P7-3345m,Q2P1-10m,Q2P1-20m,Q2P1-30m,Q2P1-30m-2,Q2P1-60m,Q2P1-90m,Q2P1-316m,Q2P4-0.5m,Q2P4-10m,Q2P4-20m,Q2P4-30m,Q2P4-60m,Q2P4-90m,Q2P4-352m,Q2P6-0.5m,Q2P6-10m,Q2P6-20m,Q2P6-30m,Q2P6-60m,Q2P6-90m,Q2P6-922m,Q2P7-0.5m,Q2P7-10m,Q2P7-20m,Q2P7-30m,Q2P7-60m,Q2P7-90m,Q2P7-3237m,Q4P1-10m,Q4P1-20m,Q4P1-30m,Q4P1-90m,Q4P1-150m,Q4P1-316m,Q4P2-10m,Q4P2-30m,Q4P2-60m,Q4P2-90m,Q4P2-176m,Q4P4-10m,Q4P4-20m,Q4P4-30m,Q4P4-40m,Q4P4-50m,Q4P4-334m,Q4P5-10m,Q4P5-20m,Q4P5-30m,Q4P5-40m,Q4P5-90m,Q4P5-139m,Q4P6-10m,Q4P6-20m,Q4P6-30m,Q4P6-40m,Q4P6-120m,Q4P6-871,Q4P7-10m,Q4P7-20m,Q4P7-30m,Q4P7-40m,Q4P7-200m,Q4P7-3415m,Q1P7-MQ1,Q1P7-MQ2,Q1P7-MQ3,Q2P1-MQ1,Q2P1-MQ2,Q2P1-MQ3,PLFA-3,PLFA-4,PLFA-5,PLFA-6,PLFA-7,PLFA-New2b
8,10,3,0,0,0,0,0,0,0,153.055717,1.25,0.375,152.884814,153,0.115186081,4,1,0.0889787664,0.384615385,0,0,0,0,104.275992,0,0,155.813728,128.346218,78.1274047,89.6088282,118.086212,0,72.0086493,71.448761,81.8280479,78.9554599,0,0,0,0,311.054571,171.458925,0,0,154.314847,167.921626,455.120123,0,0,0,0,0,0,344.551472,0,86.6558457,0,0,0,0,922.776429,108.486791,0,185.022478,0,195.239577,769.884427,0,208.307842,497.877865,182.194626,199.844815,205.319759,79.6383906,197.104021,126.336892,126.890611,102.521807,0,175.961253,147.840905,342.963419,118.410973,856.136051,164.928293,85.2605951,109.36071,209.711994,187.789231,186.688936,214.793266,129.762259,134.378717,156.181417,0,648.864885,0,167.285853,151.214472,64.8764537,587.665544,0,0,0,182.091332,172.534706,100.576897,0,0,0,0,0,0,0,785.438786,754.989469,875.936937,778.570407,762.810997,779.474004
7,10,2,2,0,0,0,0,0,0,153.066951,1.42857143,0.285714286,152.896035,153,0.103965225,2,0,0.0778564206,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2752033,15.5137701,0,0,0,0
9,14,2,0,0,0,0,0,0,0,153.092103,1.55555556,0.222222222,152.921159,153,0.0788413095,3,1,0.100101112,0.25,0,0,0,0,0,0,0,68.3648802,0,0,0,0,1320.32434,0,29.1426664,37.013759,0,0,0,0,0,189.521369,0,132.011489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895.286309,0,0,0,0,0,711.928302,0,78.0275587,399.755054,0,0,0,50.4804507,97.9100674,49.0758891,54.3657424,0,0,81.0155022,73.877438,171.314629,55.1234993,919.184676,80.3923034,0,62.5970387,82.2094199,109.098593,101.023283,94.221932,77.7580669,72.9145514,89.6367569,0,561.077691,0,95.3818758,67.4242971,0,0,0,0,0,89.3027693,95.772702,39.5165684,0,0,0,0,0,0,0,875.718535,889.684071,853.569624,862.854855,872.602301,941.60816
6,5,4,1,0,0,0,0,0,0,154.014581,0.833333333,0.666666667,153.842607,154,0.157393157,4,0,0.0667340748,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.026391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714.951414,692.362901,688.615184,604.584047,547.269292,607.982126
7,9,3,1,0,0,0,0,0,0,154.050966,1.28571429,0.428571429,153.878952,154,0.121048385,3,0,0.0778564206,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.985649,169.075181,237.739684,203.065629,190.376018,154.359456
8,13,2,1,0,0,0,0,0,0,154.087352,1.625,0.25,153.915296,154,0.0847036135,2,0,0.0889787664,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94006458
6,4,5,0,0,0,0,0,0,0,154.998596,0.666666667,0.833333333,154.825524,155,0.174476318,5,0,0.0667340748,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8518046,13.0420355,0,0,0,0
5,4,4,2,0,0,0,0,0,0,155.00983,0.8,0.8,154.836745,155,0.163255461,3,-1,0.055611729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.38657,94.2800504,146.231539,127.701564,97.3101046,117.590485
7,8,2,0,1,0,0,0,0,0,155.017224,1.14285714,0.285714286,154.84413,155,0.155869917,4,2,0.0778564206,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4307058,82.8959598,54.0788982,61.8274831,33.0670672,57.4934813
7,8,4,0,0,0,0,0,0,0,155.034982,1.14285714,0.571428571,154.861868,155,0.138131546,4,0,0.0778564206,0.4,0,0,0,0,0,0,0,93.0356836,0,0,72.214417,64.5048671,1800.64965,47.3502457,44.6442947,53.4000915,66.7394797,0,0,0,0,0,209.129461,0,0,0,160.910642,835.661349,0,0,0,0,0,0,409.597264,0,0,0,431.316453,0,0,1219.70986,0,0,218.705055,0,210.859077,1017.21668,1145.65814,210.459023,676.007323,195.378305,336.820775,240.691903,51.3626475,193.362198,88.8602418,108.995376,79.773671,0,150.492294,109.749455,311.771612,93.3832836,1253.58,149.002172,0,71.7428031,140.387759,175.726033,161.439044,209.383436,115.334507,119.235937,162.091633,0,879.057195,0,172.204564,122.134503,48.2573797,798.221979,435.070846,0,246.186067,118.590409,168.543831,89.2448718,573.492272,0,0,0,0,0,0,532.52445,581.223959,666.296677,590.423216,596.80918,583.587302
