C,H,O,N,S,Na,m/z
17,18,5,2,0,0,329.114294
15,22,8,0,0,0,329.12419
19,22,5,0,0,0,329.139446
16,26,7,0,0,0,329.160576
20,26,4,0,0,0,329.175832
17,17,6,1,0,0,330.09831
18,21,5,1,0,0,330.134696
15,12,7,2,0,0,331.057174
17,16,7,0,0,0,331.082326
16,16,6,2,0,0,331.093559
14,20,9,0,0,0,331.103455
18,20,6,0,0,0,331.118711
17,20,5,2,0,0,331.129945
15,24,8,0,0,0,331.13984
19,24,5,0,0,0,331.155097
16,28,7,0,0,0,331.176226
16,15,7,1,0,0,332.077575
17,19,6,1,0,0,332.11396
18,23,5,1,0,0,332.150346
15,14,7,2,0,0,333.072824
17,18,7,0,0,0,333.097976
16,18,6,2,0,0,333.109209
18,22,6,0,0,0,333.134361
19,26,5,0,0,0,333.170747
16,17,7,1,0,0,334.093225
17,21,6,1,0,0,334.12961
18,25,5,1,0,0,334.165996
16,16,8,0,0,0,335.07724
15,16,7,2,0,0,335.088474
17,20,7,0,0,0,335.113626
16,20,6,2,0,0,335.124859
18,24,6,0,0,0,335.150011
19,28,5,0,0,0,335.186397
15,15,8,1,0,0,336.072489
16,19,7,1,0,0,336.108875
17,23,6,1,0,0,336.14526
18,27,5,1,0,0,336.181646
16,18,8,0,0,0,337.09289
15,18,7,2,0,0,337.104124
17,22,7,0,0,0,337.129276
16,22,6,2,0,0,337.140509
18,26,6,0,0,0,337.165661
19,30,5,0,0,0,337.202047
15,17,8,1,0,0,338.088139
16,21,7,1,0,0,338.124525
17,25,6,1,0,0,338.16091
15,16,9,0,0,0,339.072155
14,16,8,2,0,0,339.083388
16,20,8,0,0,0,339.10854
15,20,7,2,0,0,339.119774
17,24,7,0,0,0,339.144926
18,28,6,0,0,0,339.181311
19,32,5,0,0,0,339.217696
15,19,8,1,0,0,340.103789
16,23,7,1,0,0,340.140175
17,27,6,1,0,0,340.17656
15,18,9,0,0,0,341.087805
19,18,6,0,0,0,341.103061
16,22,8,0,0,0,341.12419
20,22,5,0,0,0,341.139446
17,26,7,0,0,0,341.160576
18,30,6,0,0,0,341.196961
14,17,9,1,0,0,342.083054
15,21,8,1,0,0,342.119439
19,21,5,1,0,0,342.134696
16,25,7,1,0,0,342.155825
15,20,7,0,1,0,343.085697
17,16,6,2,0,0,343.093559
15,20,9,0,0,0,343.103455
19,20,6,0,0,0,343.118711
16,24,8,0,0,0,343.13984
20,24,5,0,0,0,343.155097
17,28,7,0,0,0,343.176226
18,19,6,1,0,0,344.11396
15,23,8,1,0,0,344.135089
19,23,5,1,0,0,344.150346
14,18,8,0,1,0,345.064961
16,14,7,2,0,0,345.072824
18,18,7,0,0,0,345.097976
17,18,6,2,0,0,345.109209
15,22,9,0,0,0,345.119105
19,22,6,0,0,0,345.134361
18,22,5,2,0,0,345.145594
16,26,8,0,0,0,345.15549
20,26,5,0,0,0,345.170746
17,30,7,0,0,0,345.191876
17,17,7,1,0,0,346.093225
18,21,6,1,0,0,346.12961
19,25,5,1,0,0,346.165996
16,16,7,2,0,0,347.088474
18,20,7,0,0,0,347.113626
17,20,6,2,0,0,347.124859
19,24,6,0,0,0,347.150011
20,28,5,0,0,0,347.186397
16,15,8,1,0,0,348.072489
17,19,7,1,0,0,348.108875
18,23,6,1,0,0,348.14526
19,27,5,1,0,0,348.181646
15,14,8,2,0,0,349.067738
17,18,8,0,0,0,349.09289
16,18,7,2,0,0,349.104124
18,22,7,0,0,0,349.129276
19,26,6,0,0,0,349.165661
20,30,5,0,0,0,349.202047
16,17,8,1,0,0,350.088139
17,21,7,1,0,0,350.124525
18,25,6,1,0,0,350.16091
19,29,5,1,0,0,350.197296
16,16,9,0,0,0,351.072155
15,16,8,2,0,0,351.083388
17,20,8,0,0,0,351.10854
16,20,7,2,0,0,351.119774
18,24,7,0,0,0,351.144926
19,28,6,0,0,0,351.181311
20,32,5,0,0,0,351.217696
16,19,8,1,0,0,352.103789
17,23,7,1,0,0,352.140175
18,27,6,1,0,0,352.17656
16,18,9,0,0,0,353.087805
15,18,8,2,0,0,353.099038
17,22,8,0,0,0,353.12419
16,22,7,2,0,0,353.135424
18,26,7,0,0,0,353.160576
19,30,6,0,0,0,353.196961
15,17,9,1,0,0,354.083054
16,21,8,1,0,0,354.119439
17,25,7,1,0,0,354.155825
16,20,7,0,1,0,355.085697
16,20,9,0,0,0,355.103455
15,20,8,2,0,0,355.114688
20,20,6,0,0,0,355.118711
17,24,8,0,0,0,355.13984
18,28,7,0,0,0,355.176226
19,32,6,0,0,0,355.212611
15,19,9,1,0,0,356.098704
16,23,8,1,0,0,356.135089
17,27,7,1,0,0,356.171475
15,18,10,0,0,0,357.082719
16,22,7,0,1,0,357.101347
18,18,6,2,0,0,357.109209
16,22,9,0,0,0,357.119105
20,22,6,0,0,0,357.134361
17,26,8,0,0,0,357.15549
21,26,5,0,0,0,357.170746
18,30,7,0,0,0,357.191876
18,17,7,1,0,0,358.093225
19,21,6,1,0,0,358.12961
20,25,5,1,0,0,358.165996
17,16,7,2,0,0,359.088474
19,20,7,0,0,0,359.113626
16,24,7,0,1,0,359.116997
18,20,6,2,0,0,359.124859
16,24,9,0,0,0,359.134755
20,24,6,0,0,0,359.150011
19,24,5,2,0,0,359.161245
17,28,8,0,0,0,359.17114
21,28,5,0,0,0,359.186397
18,32,7,0,0,0,359.207526
22,32,4,0,0,0,359.222782
18,19,7,1,0,0,360.108875
19,23,6,1,0,0,360.14526
20,27,5,1,0,0,360.181646
16,14,8,2,0,0,361.067738
